t, X, Y, Z, DT
0.010000, 1.012567, 1.259918, 0.984891, 0.010000
0.011801, 1.048824, 1.523997, 0.973114, 0.001801
0.013634, 1.107209, 1.798310, 0.965159, 0.001832
0.015502, 1.186868, 2.088540, 0.961737, 0.001868
0.017411, 1.287557, 2.400154, 0.963806, 0.001909
0.019363, 1.409571, 2.738546, 0.972608, 0.001952
0.021358, 1.553690, 3.109154, 0.989731, 0.001996
0.023397, 1.721146, 3.517569, 1.017187, 0.002039
0.025476, 1.913596, 3.969615, 1.057512, 0.002079
0.027592, 2.133107, 4.471411, 1.113899, 0.002116
0.029739, 2.382146, 5.029415, 1.190354, 0.002147
0.031910, 2.663581, 5.650438, 1.291893, 0.002172
0.034099, 2.980668, 6.341615, 1.424787, 0.002188
0.036295, 3.337045, 7.110331, 1.596843, 0.002197
0.038491, 3.736716, 7.964065, 1.817757, 0.002196
0.040678, 4.184007, 8.910141, 2.099503, 0.002187
0.042849, 4.683507, 9.955333, 2.456794, 0.002170
0.044995, 5.239967, 11.105288, 2.907557, 0.002146
0.047110, 5.858133, 12.363697, 3.473431, 0.002116
0.049191, 6.542513, 13.731149, 4.180191, 0.002081
0.051232, 7.297030, 15.203592, 5.058021, 0.002042
0.053232, 8.124546, 16.770340, 6.141457, 0.002000
0.055188, 9.026215, 18.411601, 7.468781, 0.001956
0.057099, 10.000639, 20.095576, 9.080531, 0.001911
0.058965, 11.042823, 21.775358, 11.016741, 0.001866
0.060786, 12.142932, 23.386068, 13.312491, 0.001821
0.062563, 13.284945, 24.843036, 15.991439, 0.001777
0.064297, 14.445350, 26.042196, 19.057333, 0.001734
0.065988, 15.592182, 26.864169, 22.484125, 0.001692
0.067640, 16.684763, 27.183473, 26.206297, 0.001651
0.069253, 17.674639, 26.883606, 30.112135, 0.001613
0.070829, 18.508113, 25.877106, 34.043549, 0.001576
0.072371, 19.130568, 24.127303, 37.805809, 0.001542
0.073880, 19.492306, 21.666040, 41.188556, 0.001510
0.075359, 19.555041, 18.600674, 43.995692, 0.001479
0.076813, 19.297723, 15.105561, 46.077475, 0.001454
0.078251, 18.720212, 11.397976, 47.355669, 0.001438
0.079675, 17.843776, 7.704258, 47.833954, 0.001424
0.081084, 16.708234, 4.225761, 47.590768, 0.001409
0.082478, 15.366499, 1.113758, 46.758015, 0.001394
0.083854, 13.877914, -1.541669, 45.493324, 0.001377
0.085211, 12.301848, -3.709144, 43.953982, 0.001357
0.086545, 10.692619, -5.404206, 42.278057, 0.001334
0.087851, 9.096259, -6.673702, 40.574463, 0.001306
0.089125, 7.549065, -7.580829, 38.920797, 0.001274
0.090360, 6.077562, -8.193378, 37.366355, 0.001235
0.091550, 4.699412, -8.575906, 35.937698, 0.001190
0.092688, 3.424793, -8.785421, 34.644780, 0.001138
0.093764, 2.257933, -8.869676, 33.486466, 0.001076
0.094766, 1.198565, -8.867139, 32.454933, 0.001002
0.095674, 0.243204, -8.807869, 31.538891, 0.000908
0.096451, -0.613809, -8.714782, 30.725777, 0.000777
0.097276, -1.379484, -8.604971, 30.003125, 0.000825
0.098191, -2.061556, -8.490928, 29.359360, 0.000915
0.099170, -2.668036, -8.381581, 28.784187, 0.000980
0.100200, -3.206883, -8.283145, 28.268732, 0.001030
0.101271, -3.685788, -8.199790, 27.805518, 0.001071
0.102375, -4.112029, -8.134157, 27.388370, 0.001104
0.103508, -4.492383, -8.087756, 27.012268, 0.001133
0.104666, -4.833087, -8.061258, 26.673195, 0.001158
0.105845, -5.139813, -8.054717, 26.367986, 0.001179
0.107043, -5.417679, -8.067734, 26.094186, 0.001198
0.108258, -5.671259, -8.099574, 25.849929, 0.001215
0.109488, -5.904609, -8.149253, 25.633827, 0.001230
0.110731, -6.121297, -8.215599, 25.444877, 0.001243
0.111987, -6.324432, -8.297294, 25.282381, 0.001256
0.113255, -6.516695, -8.392906, 25.145876, 0.001267
0.114533, -6.700372, -8.500900, 25.035076, 0.001278
0.115820, -6.877380, -8.619656, 24.949817, 0.001288
0.117117, -7.049297, -8.747471, 24.890011, 0.001297
0.118422, -7.217384, -8.882564, 24.855604, 0.001305
0.119735, -7.382608, -9.023073, 24.846531, 0.001313
0.121055, -7.545665, -9.167060, 24.862684, 0.001320
0.122382, -7.706993, -9.312511, 24.903871, 0.001327
0.123715, -7.866798, -9.457341, 24.969780, 0.001333
0.125054, -8.025060, -9.599402, 25.059945, 0.001339
0.126398, -8.181559, -9.736496, 25.173713, 0.001344
0.127747, -8.335880, -9.866394, 25.310211, 0.001349
0.129100, -8.487438, -9.986859, 25.468319, 0.001353
0.130457, -8.635492, -10.095676, 25.646646, 0.001357
0.131818, -8.779161, -10.190688, 25.843510, 0.001360
0.133181, -8.917448, -10.269842, 26.056927, 0.001363
0.134546, -9.049262, -10.331230, 26.284609, 0.001365
0.135913, -9.173446, -10.373147, 26.523971, 0.001367
0.137281, -9.288799, -10.394135, 26.772148, 0.001368
0.138650, -9.394111, -10.393040, 27.026028, 0.001369
0.140019, -9.488195, -10.369061, 27.282291, 0.001369
0.141388, -9.569919, -10.321787, 27.537470, 0.001369
0.142756, -9.638239, -10.251231, 27.788007, 0.001368
0.144123, -9.692234, -10.157856, 28.030335, 0.001367
0.145488, -9.731136, -10.042574, 28.260954, 0.001365
0.146851, -9.754358, -9.906742, 28.476512, 0.001363
0.148212, -9.761521, -9.752136, 28.673890, 0.001361
0.149570, -9.752468, -9.580912, 28.850271, 0.001358
0.150927, -9.727277, -9.395548, 29.003212, 0.001357
0.152281, -9.686269, -9.198779, 29.130697, 0.001354
0.153634, -9.630005, -8.993523, 29.231175, 0.001352
0.154983, -9.559273, -8.782800, 29.303583, 0.001349
0.156330, -9.475078, -8.569651, 29.347353, 0.001347
0.157673, -9.378616, -8.357060, 29.362404, 0.001344
0.159014, -9.271245, -8.147886, 29.349110, 0.001340
0.160351, -9.154461, -7.944797, 29.308271, 0.001337
0.161685, -9.029858, -7.750227, 29.241057, 0.001334
0.163015, -8.899097, -7.566333, 29.148962, 0.001330
0.164342, -8.763872, -7.394976, 29.033739, 0.001327
0.165665, -8.625880, -7.237709, 28.897350, 0.001323
0.166985, -8.486787, -7.095778, 28.741902, 0.001320
0.168301, -8.348205, -6.970135, 28.569603, 0.001316
0.169614, -8.211670, -6.861453, 28.382710, 0.001313
0.170923, -8.078625, -6.770154, 28.183494, 0.001310
0.172230, -7.950402, -6.696434, 27.974205, 0.001306
0.173533, -7.828217, -6.640299, 27.757049, 0.001303
0.174834, -7.713162, -6.601589, 27.534165, 0.001301
0.176132, -7.606203, -6.580012, 27.307617, 0.001298
0.177429, -7.508183, -6.575169, 27.079382, 0.001296
0.178723, -7.419820, -6.586580, 26.851349, 0.001294
0.180016, -7.341717, -6.613704, 26.625320, 0.001293
0.181308, -7.274364, -6.655955, 26.403009, 0.001292
0.182599, -7.218148, -6.712718, 26.186048, 0.001291
0.183889, -7.173359, -6.783353, 25.975995, 0.001291
0.185180, -7.140200, -6.867209, 25.774335, 0.001291
0.186472, -7.118788, -6.963618, 25.582493, 0.001291
0.187764, -7.109168, -7.071901, 25.401832, 0.001292
0.189058, -7.111315, -7.191361, 25.233664, 0.001294
0.190354, -7.125137, -7.321275, 25.079249, 0.001296
0.191653, -7.150482, -7.460893, 24.939802, 0.001299
0.192955, -7.187139, -7.609423, 24.816487, 0.001303
0.194262, -7.234840, -7.766021, 24.710419, 0.001306
0.195572, -7.293257, -7.929780, 24.622660, 0.001310
0.196887, -7.362006, -8.099720, 24.554212, 0.001315
0.198206, -7.440641, -8.274772, 24.506004, 0.001319
0.199530, -7.528651, -8.453770, 24.478885, 0.001324
0.200858, -7.625460, -8.635438, 24.473605, 0.001328
0.202191, -7.730418, -8.818385, 24.490800, 0.001333
0.203529, -7.842798, -9.001096, 24.530966, 0.001338
0.204871, -7.961794, -9.181934, 24.594440, 0.001342
0.206217, -8.086514, -9.359138, 24.681372, 0.001346
0.207568, -8.215977, -9.530830, 24.791696, 0.001351
0.208923, -8.349112, -9.695033, 24.925103, 0.001355
0.210281, -8.484759, -9.849684, 25.081013, 0.001358
0.211643, -8.621666, -9.992665, 25.258547, 0.001362
0.213007, -8.758500, -10.121835, 25.456502, 0.001365
0.214374, -8.893851, -10.235073, 25.673336, 0.001367
0.215744, -9.026243, -10.330325, 25.907150, 0.001369
0.217115, -9.154152, -10.405660, 26.155691, 0.001371
0.218487, -9.276023, -10.459326, 26.416354, 0.001372
0.219861, -9.390293, -10.489816, 26.686206, 0.001373
0.221234, -9.495419, -10.495923, 26.962015, 0.001374
0.222608, -9.589907, -10.476803, 27.240298, 0.001373
0.223981, -9.672344, -10.432025, 27.517381, 0.001373
0.225352, -9.741433, -10.361610, 27.789471, 0.001372
0.226723, -9.796024, -10.266060, 28.052740, 0.001370
0.228092, -9.835150, -10.146370, 28.303415, 0.001369
0.229458, -9.858053, -10.004024, 28.537871, 0.001366
0.230822, -9.864212, -9.840965, 28.752719, 0.001364
0.232183, -9.853359, -9.659558, 28.944901, 0.001361
0.233542, -9.825498, -9.462526, 29.111761, 0.001359
0.234899, -9.780902, -9.252878, 29.251107, 0.001357
0.236253, -9.720119, -9.033825, 29.361260, 0.001354
0.237604, -9.643954, -8.808686, 29.441080, 0.001351
0.238952, -9.553453, -8.580805, 29.489972, 0.001348
0.240297, -9.449878, -8.353455, 29.507874, 0.001345
0.241639, -9.334678, -8.129763, 29.495229, 0.001342
0.242977, -9.209449, -7.912639, 29.452943, 0.001338
0.244311, -9.075901, -7.704725, 29.382326, 0.001334
0.245642, -8.935817, -7.508350, 29.285035, 0.001331
0.246969, -8.791017, -7.325509, 29.163008, 0.001327
0.248292, -8.643319, -7.157852, 29.018395, 0.001323
0.249611, -8.494511, -7.006686, 28.853500, 0.001319
0.250927, -8.346317, -6.872992, 28.670719, 0.001316
0.252239, -8.200376, -6.757443, 28.472495, 0.001312
0.253547, -8.058223, -6.660441, 28.261268, 0.001308
0.254852, -7.921270, -6.582143, 28.039448, 0.001305
0.256154, -7.790803, -6.522502, 27.809380, 0.001302
0.257453, -7.667970, -6.481297, 27.573332, 0.001299
0.258749, -7.553783, -6.458171, 27.333479, 0.001296
0.260043, -7.449118, -6.452659, 27.091894, 0.001294
0.261335, -7.354718, -6.464217, 26.850551, 0.001292
0.262626, -7.271203, -6.492244, 26.611323, 0.001290
0.263915, -7.199074, -6.536101, 26.375986, 0.001289
